School Name,Region,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Middlebury College,Northeastern,Liberal Arts,"$47,700.00","$94,200.00",,"$69,100.00","$129,000.00",
Stony Brook University,Northeastern,State,"$49,500.00","$93,000.00","$47,200.00","$67,100.00","$129,000.00","$181,000.00"
Franklin and Marshall College,Northeastern,Liberal Arts,"$49,100.00","$92,800.00",,"$55,800.00","$185,000.00",
State University of New York (SUNY) at Albany,Northeastern,Party,"$44,500.00","$92,200.00","$47,000.00","$63,100.00","$135,000.00","$209,000.00"
State University of New York (SUNY) at Albany,Northeastern,State,"$44,500.00","$92,200.00","$47,000.00","$63,100.00","$135,000.00","$209,000.00"
Rutgers University,Northeastern,State,"$50,300.00","$91,800.00","$48,100.00","$65,100.00","$128,000.00","$176,000.00"
University of Connecticut (UConn),Northeastern,State,"$48,000.00","$88,800.00","$46,100.00","$66,400.00","$120,000.00","$162,000.00"
University of Massachusetts (UMass) - Amherst,Northeastern,State,"$46,600.00","$88,200.00","$43,100.00","$61,300.00","$122,000.00","$168,000.00"
University of Massachusetts (UMass) - Lowell,Northeastern,State,"$45,400.00","$86,600.00","$50,900.00","$65,000.00","$113,000.00","$158,000.00"
Colby College,Northeastern,Liberal Arts,"$46,400.00","$85,800.00",,"$63,500.00","$129,000.00",
Gettysburg College,Northeastern,Liberal Arts,"$44,700.00","$85,800.00",,"$66,300.00","$132,000.00",
Pennsylvania State University (PSU),Northeastern,Party,"$49,900.00","$85,700.00","$46,300.00","$62,000.00","$117,000.00","$160,000.00"
Pennsylvania State University (PSU),Northeastern,State,"$49,900.00","$85,700.00","$46,300.00","$62,000.00","$117,000.00","$160,000.00"
University of Rhode Island (URI),Northeastern,State,"$43,900.00","$85,300.00","$45,400.00","$60,100.00","$112,000.00","$157,000.00"
Siena College,Northeastern,Liberal Arts,"$45,500.00","$85,200.00","$38,700.00","$58,400.00","$129,000.00","$189,000.00"
Rochester Institute of Technology (RIT),Northeastern,Engineering,"$48,900.00","$84,600.00","$45,000.00","$62,100.00","$112,000.00","$159,000.00"
State University of New York (SUNY) at Farmingdale,Northeastern,State,"$47,300.00","$84,200.00","$50,200.00","$59,800.00","$110,000.00","$162,000.00"
Smith College,Northeastern,Liberal Arts,"$44,000.00","$83,900.00","$45,100.00","$59,800.00","$129,000.00","$184,000.00"
Hamilton College,Northeastern,Liberal Arts,"$49,200.00","$83,700.00",,"$51,900.00","$123,000.00",
Wellesley College,Northeastern,Liberal Arts,"$42,800.00","$83,500.00",,"$58,600.00","$125,000.00",
University of Vermont (UVM),Northeastern,State,"$44,800.00","$82,700.00","$44,700.00","$58,000.00","$122,000.00","$194,000.00"
State University of New York (SUNY) at Buffalo,Northeastern,State,"$46,200.00","$81,700.00","$45,900.00","$61,400.00","$110,000.00","$147,000.00"
State University of New York (SUNY) at Geneseo,Northeastern,State,"$42,300.00","$81,300.00","$39,300.00","$47,600.00","$117,000.00","$173,000.00"
Ursinus College,Northeastern,Liberal Arts,"$42,100.00","$80,000.00","$35,600.00","$54,300.00","$100,000.00","$160,000.00"
Juniata College,Northeastern,Liberal Arts,"$41,800.00","$78,900.00",,"$67,200.00","$110,000.00",
University of New Hampshire (UNH),Northeastern,Party,"$41,800.00","$78,300.00","$41,700.00","$56,400.00","$114,000.00","$147,000.00"
University of New Hampshire (UNH),Northeastern,State,"$41,800.00","$78,300.00","$41,700.00","$56,400.00","$114,000.00","$147,000.00"
University of Massachusetts (UMass) - Boston,Northeastern,State,"$45,600.00","$78,200.00","$36,300.00","$53,800.00","$109,000.00","$151,000.00"
State University of New York (SUNY) at Oswego,Northeastern,State,"$38,000.00","$77,800.00","$40,400.00","$53,000.00","$115,000.00","$169,000.00"
University of Massachusetts (UMass) - Dartmouth,Northeastern,State,"$43,200.00","$77,700.00","$43,300.00","$56,200.00","$107,000.00","$132,000.00"
State University of New York (SUNY) at Oneonta,Northeastern,State,"$37,500.00","$76,700.00","$40,000.00","$54,300.00","$97,700.00","$155,000.00"
State University of New York (SUNY) at Plattsburgh,Northeastern,State,"$40,800.00","$76,200.00","$38,400.00","$54,100.00","$105,000.00","$136,000.00"
Skidmore College,Northeastern,Liberal Arts,"$41,600.00","$74,600.00",,"$42,800.00","$147,000.00",
Moravian College,Northeastern,Liberal Arts,"$42,500.00","$74,400.00",,"$56,700.00","$94,900.00",
Penn State - Harrisburg,Northeastern,State,"$45,700.00","$74,000.00","$44,000.00","$53,100.00","$104,000.00","$150,000.00"
Fitchburg State College,Northeastern,State,"$42,400.00","$72,600.00","$43,300.00","$56,100.00","$99,600.00","$151,000.00"
University Of Maine,Northeastern,State,"$41,200.00","$72,100.00","$41,700.00","$55,600.00","$99,300.00","$141,000.00"
State University of New York (SUNY) at Potsdam,Northeastern,State,"$38,000.00","$70,300.00","$35,100.00","$51,200.00","$100,000.00","$179,000.00"
State University of New York (SUNY) at Fredonia,Northeastern,State,"$37,800.00","$66,200.00","$32,800.00","$44,200.00","$93,300.00","$181,000.00"
University of Southern Maine,Northeastern,State,"$39,400.00","$63,600.00","$40,400.00","$47,900.00","$85,700.00","$117,000.00"
